Species,Family,Country
ferrugineus (Oliv.),Dryophthorinae,['']
strigosus F.,Gyrinidae,['Australia']
viridiaeneus (Donovan),Scarabaeidae,['Australia']
vogeli Brenske,Scarabaeidae,['']
centaurus Sternberg,Scarabaeidae,['']
rhinoceros (L.),Scarabaeidae,['Solomon Islands']
festiva (F.),Scarabaeidae,['New Zealand']
gideon (L.),Scarabaeidae,['']
sternosticta W.-M.,Mantidae,['']
viridula (L.),Pentatomidae,['']
edulis Blöte,Tessaratomidae,['']
pomiformis Froggatt,Eriococcidae,['Australia']
pomiformis (Froggatt),Eriococcidae,['Australia']
acaciae (Maskell),Kerriidae,['Australia']
eucalypti (Dobson),Psyllidae,['Australia']
aurocinctus (Smith),Formicidae,['Australia']
consobrinus (Erichson),Formicidae,['Australia']
gasseri (Forel),Formicidae,['Australia']
inflatus Lubb.,Formicidae,['Australia']
bagoti Lubb.,Formicidae,['Australia']
cowlei Frogg. syn,Formicidae,['Australia']
midas Frogg.,Formicidae,['Australia']
pyriformis Smith,Formicidae,['Australia']
sanguinea Smith syn,Formicidae,['Australia']
smaragdina (F.),Formicidae,['Australia']
virescens (F.) syn,Formicidae,['Australia']
cyanauges Turner,Cossidae,['Australia']
amphiplecta (Turner),Cossidae,['Australia']
biarpiti (Tindale),Cossidae,['Australia']
cinereus (Tepper),Cossidae,['Australia']
encalypti H.-S.,Cossidae,['Australia']
leucomochla (Turner),Cossidae,['Australia']
lituratus (Don.),Cossidae,['Australia']
amphiplecta Turner,Cossidae,['Australia']
biarpiti Tindale,Cossidae,['Australia']
boisduvali Rothschild syn,Cossidae,['Australia']
encalypti H.-S.,Cossidae,['Australia']
leucomochla Turner,Cossidae,['Australia']
liturata Don.,Cossidae,['Australia']
marcidus Tindale,Hepialidae,['Australia']
virescens (Doubleday),Hepialidae,['New Zealand']
argyrosticha Turner,Hepialidae,['Australia']
atripalpis Walker,Hepialidae,['Australia']
argentata H.-S.,Hepialidae,['Australia']
